月份,文學院,理學院,工學院,管理學院,電資學院,規劃與設計學院,社會科學院,生物科學與科技學院,醫學院,總用電量,總電費
1,39891,210039,825834,77194,386093,54561,40736,146950,864994,2646291,6615728
2,43215,227542,894654,83627,418268,59108,44130,159196,937076,2866816,7167039
3,56767,272668,1147229,104896,530303,81928,55239,172286,1048646,3469962,8674904
4,61497,295390,1242832,113638,574495,88755,59842,186644,1136033,3759125,9397813
5,76938,309949,1398025,132438,648627,100083,73487,200840,1045238,3985624,9964059
6,83349,335779,1514527,143474,702679,108423,79611,217576,1132341,4317759,10794397
7,50646,299054,1401938,109036,643564,82013,62311,202678,368144,3219385,8048462
8,54867,323975,1518766,118123,697195,88848,67504,219568,398823,3487667,8719167
9,76311,336169,1489738,138290,707197,108400,70003,224329,308994,3459429,8648573
10,70441,310310,1375142,127652,652797,100061,64618,207073,285225,3193319,7983298
11,55427,260483,1168878,107138,562966,87136,55931,204049,253458,2755468,6888670
12,51164,240446,1078965,98897,519661,80433,51629,188353,233962,2543509,6358772
